tick,tick_variance,is_simulated
1,1.000000,False
2,1.000000,False
3,1.000000,False
4,1.000000,False
5,1.000000,False
6,1.000000,False
7,1.000000,False
8,1.000000,False
9,1.000000,False
10,0.000000,True
11,0.000000,True
12,0.000000,True
13,0.000000,True
14,0.000000,True
15,0.000000,True
16,0.000000,True
17,0.000000,True
18,0.000000,True
19,0.000000,True
20,0.000000,True
21,0.000000,True
22,0.000000,True
23,0.000000,True
24,0.000000,True
25,0.000000,True
26,0.000000,True
27,0.000000,True
28,0.000000,True
29,0.000000,True
30,0.000000,True
31,0.000000,True
32,0.000000,True
33,0.000000,True
34,0.000000,True
35,0.000000,True
36,0.000000,True
37,0.000000,True
38,0.000000,True
39,0.000000,True
40,0.000000,True
41,0.000001,True
42,0.000001,True
43,0.000000,True
44,0.000000,True
45,0.000000,True
46,0.000000,True
47,0.000001,True
48,0.000001,True
49,0.000001,True
50,0.000000,True
51,0.000000,True
52,0.000000,True
53,0.000000,True
54,0.000000,True
55,0.000000,True
56,0.000000,True
57,0.000000,True
58,0.000000,True
59,0.000000,True
60,0.000000,True
61,0.000000,True
62,0.000000,True
63,0.000000,True
64,0.000000,True
65,0.000000,True
66,0.000000,True
67,0.000000,True
68,0.000000,True
69,0.000000,True
70,0.000000,True
71,0.000000,True
72,0.000000,True
73,0.000000,True
74,0.000000,True
75,0.000000,True
76,0.000000,True
77,0.000000,True
78,0.000000,True
79,0.000000,True
80,0.000000,True
81,0.000000,True
82,0.000000,True
83,0.000000,True
84,0.000000,True
85,0.000000,True
86,0.000000,True
87,0.000000,True
88,0.000000,True
89,0.000000,True
90,0.000000,True
91,0.000000,True
92,0.000000,True
93,0.000000,True
94,0.000000,True
95,0.000000,True
96,0.000000,True
97,0.000000,True
98,0.000000,True
99,0.000000,True
100,0.000000,True
